n,delta_n,cumulative_gap,predictor,deployment
61,0.0004582955485472346,0.4497166598726549,Broad mixture,"Beta(3,6)"
62,0.00044462148644805645,0.450161281359103,Broad mixture,"Beta(3,6)"
63,0.0004315506287911635,0.4505928319878942,Broad mixture,"Beta(3,6)"
64,0.00041904800106420703,0.45101187998895836,Broad mixture,"Beta(3,6)"
65,0.0004070811278934039,0.45141896111685176,Broad mixture,"Beta(3,6)"
66,0.0003956198217367324,0.4518145809385885,Broad mixture,"Beta(3,6)"
67,0.0003846359921333238,0.45219921693072185,Broad mixture,"Beta(3,6)"
68,0.00037410347325548036,0.45257332040397735,Broad mixture,"Beta(3,6)"
69,0.00036399786778286837,0.4529373182717602,Broad mixture,"Beta(3,6)"
70,0.00035429640535697036,0.45329161467711715,Broad mixture,"Beta(3,6)"
71,0.0003449778140800653,0.4536365924911972,Broad mixture,"Beta(3,6)"
72,0.00033602220370217145,0.45397261469489936,Broad mixture,"Beta(3,6)"
73,0.00032741095929723766,0.4543000256541966,Broad mixture,"Beta(3,6)"
74,0.00031912664436493937,0.45461915229856154,Broad mixture,"Beta(3,6)"
75,0.0003111529124155622,0.4549303052109771,Broad mixture,"Beta(3,6)"
76,0.0003034744261992875,0.4552337796371764,Broad mixture,"Beta(3,6)"
77,0.0002960767838337287,0.4555298564210101,Broad mixture,"Beta(3,6)"
78,0.00028894645116479334,0.4558188028721749,Broad mixture,"Beta(3,6)"
79,0.00028207069976634105,0.45610087357194123,Broad mixture,"Beta(3,6)"
80,0.00027543755004821115,0.45637631112198945,Broad mixture,"Beta(3,6)"
81,0.00026903571899654897,0.456645346840986,Broad mixture,"Beta(3,6)"
82,0.00026285457212112486,0.4569082014131071,Broad mixture,"Beta(3,6)"
83,0.00025688407922601667,0.45716508549233315,Broad mixture,"Beta(3,6)"
84,0.0002511147736607262,0.4574162002659939,Broad mixture,"Beta(3,6)"
85,0.0002455377147414563,0.45766173798073534,Broad mixture,"Beta(3,6)"
86,0.00024014445306425885,0.4579018824337996,Broad mixture,"Beta(3,6)"
87,0.00023492699845836237,0.45813680943225793,Broad mixture,"Beta(3,6)"
88,0.00022987779035212939,0.45836668722261004,Broad mixture,"Beta(3,6)"
89,0.00022498967034678783,0.4585916768929568,Broad mixture,"Beta(3,6)"
90,0.00022025585681153864,0.45881193274976834,Broad mixture,"Beta(3,6)"
91,0.00021566992133148667,0.4590276026710998,Broad mixture,"Beta(3,6)"
92,0.00021122576685594455,0.45923882843795577,Broad mixture,"Beta(3,6)"
93,0.0002069176074078748,0.45944574604536365,Broad mixture,"Beta(3,6)"
94,0.00020273994922836812,0.459648485994592,Broad mixture,"Beta(3,6)"
95,0.00019868757324138423,0.4598471735678334,Broad mixture,"Beta(3,6)"
96,0.0001947555187339299,0.4600419290865673,Broad mixture,"Beta(3,6)"
97,0.00019093906815670315,0.46023286815472403,Broad mixture,"Beta(3,6)"
98,0.00018723373295794927,0.46042010188768195,Broad mixture,"Beta(3,6)"
99,0.0001836352403707328,0.4606037371280527,Broad mixture,"Beta(3,6)"
100,0.0001801395210813704,0.46078387664913406,Broad mixture,"Beta(3,6)"
101,0.00017674269771252282,0.46096061934684657,Broad mixture,"Beta(3,6)"
102,0.0001734410740596861,0.46113406042090627,Broad mixture,"Beta(3,6)"
103,0.0001702311250253615,0.4613042915459316,Broad mixture,"Beta(3,6)"
104,0.00016710948720005022,0.46147140103313167,Broad mixture,"Beta(3,6)"
105,0.00016407295004244152,0.4616354739831741,Broad mixture,"Beta(3,6)"
106,0.00016111844761604937,0.4617965924307902,Broad mixture,"Beta(3,6)"
107,0.00015824305084229042,0.46195483548163246,Broad mixture,"Beta(3,6)"
108,0.0001554439602336447,0.4621102794418661,Broad mixture,"Beta(3,6)"
109,0.00015271849907289256,0.462262997940939,Broad mixture,"Beta(3,6)"
110,0.00015006410700776275,0.46241306204794674,Broad mixture,"Beta(3,6)"
111,0.00014747833403204067,0.4625605403819788,Broad mixture,"Beta(3,6)"
112,0.0001449588348268874,0.4627054992168057,Broad mixture,"Beta(3,6)"
113,0.00014250336343770264,0.4628480025802434,Broad mixture,"Beta(3,6)"
114,0.00014010976826444476,0.46298811234850784,Broad mixture,"Beta(3,6)"
115,0.00013777598734390954,0.4631258883358518,Broad mixture,"Beta(3,6)"
116,0.000135500043905179,0.46326138837975694,Broad mixture,"Beta(3,6)"
117,0.00013328004217987103,0.46339466842193683,Broad mixture,"Beta(3,6)"
118,0.00013111416345102663,0.46352578258538785,Broad mixture,"Beta(3,6)"
119,0.00012900066232504582,0.46365478324771287,Broad mixture,"Beta(3,6)"
120,0.00012693786321233598,0.4637817211109252,Broad mixture,"Beta(3,6)"
121,0.0001249241570034406,0.46390664526792863,Broad mixture,"Beta(3,6)"
122,0.00012295799792862687,0.46402960326585724,Broad mixture,"Beta(3,6)"
123,0.00012103790058878303,0.464150641166446,Broad mixture,"Beta(3,6)"
124,0.00011916243714788936,0.4642698036035939,Broad mixture,"Beta(3,6)"
125,0.00011733023467642257,0.4643871338382703,Broad mixture,"Beta(3,6)"
126,0.00011553997263675489,0.46450267381090704,Broad mixture,"Beta(3,6)"
127,0.00011379038050191946,0.46461646419140895,Broad mixture,"Beta(3,6)"
