deployment,regime,tail_loglog_slope,tail_scaled_mean,tail_scaled_ratio
"Interior Beta(2,4)",interior,-1.9803988256381988,0.4879720832967553,1.0420702227816878
"Critical Beta(1,4)",critical,-1.8076974418542855,0.36383890680002534,1.1193070370318663
"Singular Beta(0.5,4)",singular,-1.465536162258855,1.6952386684298648,1.0746926079300492
"More singular Beta(0.2,4)",singular,-1.1905762134669011,1.413066742078319,1.0199983116686213
